subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost
3,30,2.89,5.32,2.65,0.43,1.56,18.31
3,31,3.76,5.32,2.85,0.93,1.49,21.2
3,32,5.88,6.07,3.27,0.29,1.44,35.68
3,33,6.63,6.05,2.99,0.46,1.44,40.3
3,34,5.33,5.85,3.1,0.4,1.48,31.35
3,35,7.39,6.71,3.15,0.58,1.54,49.84
3,36,4.47,5.26,2.88,0.53,1.59,23.79
3,37,3.38,5.1,2.73,0.26,1.59,18.7
3,38,5.01,5.12,2.31,0.36,1.55,25.64
3,39,5.44,5.24,2.72,0.43,1.49,28.53
3,40,4.85,6.56,2.38,0.27,1.45,33.24
3,41,3.38,5.63,3.67,0.49,1.47,21.58
3,42,5.39,4.7,2.68,0.26,1.53,25.55
3,43,4.79,5.12,2.95,0.28,1.62,24.58
3,44,5.01,5.18,3.28,0.36,1.69,25.95
3,45,1.96,3.87,3.12,0.4,1.71,9.41
3,46,1.91,4.94,2.45,0.4,1.69,14.01
3,47,0.76,4.25,2.82,0.54,1.63,9.34
3,48,1.42,4.94,2.94,0.36,1.6,13.2
3,49,2.45,4.48,2.45,0.55,1.6,13.03
3,50,0.44,4.78,2.79,0.51,1.64,11.51
3,51,-0.33,5.34,2.8,0.49,1.7,14.29
3,52,-0.65,4.72,2.42,0.49,1.74,11.34
3,53,-0.33,6.03,2.05,1.48,1.74,18.23
3,54,-1.74,5.06,3.3,0.36,1.69,14.31
3,55,0.49,6.24,3.14,0.36,1.63,19.62
3,56,0.93,5.85,3.01,0.33,1.59,17.55
3,57,1.25,4.84,2.82,0.39,1.58,12.49
3,58,0.98,4.44,2.94,0.37,1.63,10.32
3,59,1.04,4.86,2.83,0.46,1.69,12.33
3,60,0.65,3.63,2.67,0.24,1.73,6.79
3,61,0.87,3.75,2.82,0.7,1.73,7.4
3,62,1.04,5.12,2.82,0.44,1.69,13.63
3,63,-0.22,4.88,2.59,0.36,1.63,11.92
3,64,0.44,4.72,2.7,0.29,1.59,11.22
3,65,0.11,4.7,2.75,0.44,1.59,11.04
3,66,0.98,5.87,2.74,0.36,1.63,17.72
3,67,0.11,5.93,1.98,1.02,1.69,17.59
3,68,-0.44,4.19,3.06,0.88,1.73,8.89
3,69,-0.55,5.18,3.55,0.47,1.73,13.55
3,70,-0.76,4.9,2.75,0.43,1.69,12.28
3,71,1.91,5.12,2.85,0.21,1.63,14.92
3,72,-0.22,5.22,3.18,0.43,1.59,13.63
3,73,1.15,5.36,3.04,0.51,1.59,15
3,74,-0.05,4.13,3.23,0.38,1.63,8.54
3,75,1.09,4.72,3.41,0.3,1.7,11.72
3,76,1.91,5.14,2.47,0.48,1.75,15.02
3,77,0.16,4.11,3.01,0.21,1.75,8.47
3,78,0.55,4.31,2.29,0.19,1.71,9.46
3,79,-1.04,4.96,3.5,0.36,1.65,12.83
3,80,2.89,4.29,2.97,0.31,1.61,13.39
4,1,15.4,4.24,2.15,0.3,1,127.5
4,2,15.35,5.27,1.55,0.37,1.02,131.64
4,3,18.01,5.43,1.71,0.3,1.02,176.88
4,4,18.11,4.91,1.54,0.38,1.01,175.97
4,5,18.5,3.59,1.84,0.49,0.98,177.65
4,6,19.83,4.28,1.77,0.32,0.94,205.82
4,7,16.86,4.96,1.65,0.6,0.88,154.44
4,8,18.65,5.37,2.13,0.45,0.84,188.38
4,9,18.9,4.53,2.12,0.31,0.85,188.88
4,10,19.2,4.24,1.9,0.34,0.91,193.21
4,11,17.11,5.25,2.1,0.36,0.98,160.18
4,12,16.56,4.67,1.36,0.43,1.07,147.99
4,13,16.66,4.98,1.83,0.19,1.11,151.17
4,14,14.63,5.23,1.6,0.3,1.12,120.76
4,15,15.29,5.41,1.5,0.24,1.1,131.59
4,16,13.97,5.27,1.53,0.32,1.11,111.46
4,17,15.19,4.67,1.52,0.32,1.16,126.32
4,18,13.51,4.94,1.54,0.36,1.24,103.43
4,19,13.51,4.61,3.01,0.42,1.33,101.85
4,20,13.97,4.36,1.92,0.39,1.41,107.05
4,21,13.97,4.55,1.65,0.32,1.43,107.92
4,22,13.2,3.96,1.84,0.27,1.41,94.95
4,23,15.09,4.67,1.68,0.5,1.37,124.78
4,24,12.94,4.96,1.67,0.32,1.33,96.04
