subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost
2,5,11.3782123159139,7.1503213193858,3.32,0.36,0.85,25.5635474852315
2,6,11.9593174380235,6.79028184813714,3.81,0.33,0.85,23.0539637885704
2,7,12.0413338286051,7.00890318524446,3.9,0.14,0.85,24.5623619300649
2,8,13.3565757874714,6.1380725024045,3.61,0.18,0.85,18.8379670223871
2,9,13.4978112644228,6.96415338188182,3.66,0.26,0.9,24.249716163188
2,10,13.1907821750462,6.55814993725645,3.39,0.21,0.9,21.5046652997684
2,11,10.8167537526567,6.35050665493696,3.69,0.3,0.9,20.1644673871993
2,12,12.9076616243619,6.60489660631815,4.79,0.25,0.9,21.8123295900765
2,13,14.3330187653505,6.38309590170124,3.37,0.18,0.95,20.3719566451576
2,14,13.9524630056562,7.14217076305871,4.18,0.14,0.95,25.5053016043453
2,15,11.6346254179122,7.50507597030642,4.99,0.21,0.95,28.1630826600354
2,16,13.23372694883,7.2754207136835,4.54,0.3,0.95,26.4658732805475
2,17,12.4937444680546,7.56019441303894,3.39,0.36,1,28.5782697814726
2,18,12.9173044698063,7.1789115822762,3.31,0.23,1,25.7683857530697
2,19,12.3636974035777,7.54569860500763,4.72,0.32,1,28.4687837188071
2,20,12.5579267827167,7.9559642444462,4.03,0.19,1,31.6486835294532
2,21,10.4980725652404,7.72778058434329,3.57,0.24,1.05,29.8592963798765
2,22,9.06985147457713,6.79505736275646,3.68,0.21,1.05,23.0864022815754
2,23,10.3342293247692,7.12853406639215,3.49,0.26,1.05,25.4079989678567
2,24,10.2552697643208,7.00711990314205,3.76,0.4,1.05,24.5498646685048
2,25,7.912198644527,5.80311231126773,3.05,0.45,1.1,16.8380562485935
2,26,9.19001946786318,4.97656395961493,3.2,0.13,1.1,12.3830944220691
2,27,7.28923784947144,5.92618442008007,3.83,0.29,1.1,17.5598308903999
2,28,7.20376415640805,6.03499491923149,3.72,0.3,1.1,18.210581837575
2,29,5.99696250727651,5.85021581037066,4.03,0.25,1.15,17.1125125139554
2,30,5.40624321200679,6.06251983361189,3.58,0.17,1.15,18.3770733664688
2,31,4.42173588996548,5.97657633581492,4.1,0.38,1.15,17.8597323489115
2,32,6.44723261145941,6.1483402312871,3.94,0.34,1.15,18.9010437998317
2,33,5.48118074979187,6.03438983455239,3.96,0.4,1.2,18.2069303376746
2,34,6.61460626154314,5.74325894693712,3.7,0.24,1.2,16.4925116657867
2,35,4.67456193750714,5.74265100985154,3.91,0.47,1.2,16.4890203104744
2,36,5.90073368717114,5.78428129820955,3.23,0.29,1.2,16.7289550684084
2,37,5.84649909720144,5.91840482834738,3.18,0.37,1.25,17.5137578561028
2,38,5.42370432314994,6.09577483023932,3.57,0.27,1.25,18.5792353904896
2,39,5.69215751750154,6.00261436972562,3.76,0.24,1.25,18.0156896358182
2,40,5.55839842473084,6.46143317558436,3.85,0.35,1.25,20.8750593412711
2,41,6.56098416276076,5.70555593542166,4.33,0.37,1.3,16.2766842661127
2,42,4.80092733604873,6.31207740393986,4.71,0.22,1.3,19.9211605766641
2,43,4.42250221612131,5.80280862976015,3.78,0.08,1.3,16.8362939968094
2,44,7.05990379878448,6.68750294345534,4.25,0.39,1.3,22.3613478093619
2,45,5.02830155090571,5.99807365550824,4.32,0.24,1.35,17.988443788451
2,46,4.3491853338,5.77455987439993,4,0.37,1.35,16.6727708715149
2,47,6.14660400028106,5.57494622129429,4.68,0.19,1.35,15.5400126851617
2,48,4.79709856063081,5.72836282492471,4.02,0.11,1.35,16.4070703269897
2,49,4.17683873771501,5.16749128177048,3.58,0.32,1.4,13.351483073587
2,50,5.85732114766852,5.67756845341282,3.9,0.34,1.4,16.1173917715942
2,51,4.22628691949535,5.79703840364056,3.98,0.24,1.4,16.8028271266418
2,52,3.84860910980503,5.4434675053233,4.4,0.34,1.4,14.8156692407553
2,53,4.52964910615404,5.79147014214905,3.77,0.21,1.45,16.770563203702
2,54,3.44459879409833,5.98505505931723,3.81,0.4,1.45,17.9104420315294
2,55,5.43912558848901,6.78520738435958,4.46,0.08,1.45,23.0195196243839
2,56,2.66380311007745,5.87802615327533,3.72,0.38,1.45,17.2755957292944
2,57,2.58363289709354,5.98989951391152,3.36,0.14,1.5,17.9394480933787
2,58,3.06300429389705,5.64622029083569,4.94,0.19,1.5,15.9399017863223
2,59,3.70092369622486,5.94628556270407,4.2,0.32,1.5,17.6791559966114
2,60,1.90717681348955,5.10063096673797,2.82,0.6,1.5,13.0082181294231
2,61,2.55571252338387,5.48950924185998,4.86,0.21,1.55,15.0673558582331
2,62,1.76876068341398,5.90264057019513,3.55,0.27,1.55,17.4205828504568
2,63,1.89410482659219,5.12655429291492,2.78,1,1.55,13.1407794591022
2,64,2.34961401482016,5.28159303252504,4.17,0.18,1.55,13.9476124806085
2,65,2.23380079784071,5.31173422484764,3.74,0.33,1.6,14.1072602377089
2,66,2.1506482215113,5.06963366430458,3.54,0.16,1.6,12.8505927451252
2,67,1.58995199172616,4.75587548667087,4.04,0.15,1.6,11.3091758223585
2,68,1.56341718668736,5.23306467332501,3.66,0.47,1.6,13.6924829376011
2,69,4.15652154725221,4.75525902404262,4.76,0.34,1.65,11.3062441928694
2,70,1.91794187502316,4.29935537083687,3.71,0.27,1.65,9.24222830237192
2,71,1.19573083657167,3.65188670002725,4.39,0.29,1.65,6.66813823491796
